DBA,STREET,INCOME_LEVEL,CUISINE_DESCRIPTION,SCORE,GRADE
DELICIOSO RESTAURANT,EAST  149 STREET,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11,A
CYCLO,47TH AVE,medium income,Vietnamese/Cambodian/Malaysia,12,A
CYPRIANA,37TH ST,medium income,Delicatessen,21,B
DELMONICO GOURMET,LEXINGTON AVENUE,high income,American,26,B
DELMONICO GOURMET,LEXINGTON AVENUE,high income,American,26,B
DELMONICO GOURMET,LEXINGTON AVENUE,high income,American,26,B
DELMONICO GOURMET,LEXINGTON AVENUE,high income,American,26,B
DEMARCHELIER RESTAURANT,EAST   86 STREET,high income,French,18,B
DEMARCHELIER RESTAURANT,EAST   86 STREET,high income,French,18,B
DENG JI RESTAURANT,KISSENA BLVD,low income,Chinese,13,A
DENG JI RESTAURANT,KISSENA BLVD,low income,Chinese,13,A
CYPRIANA,37TH ST,medium income,Delicatessen,21,B
DESERT RAIN LOUNGE,METROPOLITAN AVE,medium income,American,22,B
DESERT RAIN LOUNGE,METROPOLITAN AVE,medium income,American,22,B
DESERT RAIN LOUNGE,METROPOLITAN AVE,medium income,American,22,B
DESERT RAIN LOUNGE,METROPOLITAN AVE,medium income,American,22,B
DESNUDA,EAST    7 STREET,medium income,Mexican,12,A
D'ANGELO'S PIZZERIA AND RESTAURANT,108 STREET,medium income,Pizza/Italian,18,B
D'ANGELO'S PIZZERIA AND RESTAURANT,108 STREET,medium income,Pizza/Italian,18,B
D NAPOLI PIZZA,3 AVENUE,high income,Pizza,13,A
DEUX AMIS,EAST   51 STREET,high income,French,13,A
DEUX AMIS,EAST   51 STREET,high income,French,13,A
DEUX AMIS,EAST   51 STREET,high income,French,13,A
DEUX AMIS,EAST   51 STREET,high income,French,13,A
DIEGO'S PIZZA & RESTAURANT,JEROME AVENUE,low income,Pizza,13,A
DIEGO'S PIZZA & RESTAURANT,JEROME AVENUE,low income,Pizza,13,A
D NAPOLI PIZZA,3 AVENUE,high income,Pizza,13,A
Da Gennaro,MULBERRY STREET,high income,Italian,13,A
Da Gennaro,MULBERRY STREET,high income,Italian,13,A
DA MIKELE,CHURCH STREET,high income,Italian,8,A
DA MIKELE,CHURCH STREET,high income,Italian,8,A
DA MIKELE,CHURCH STREET,high income,Italian,8,A
DA MIKELE,CHURCH STREET,high income,Italian,8,A
DA NICO RESTAURANT,MULBERRY STREET,high income,Italian,18,B
DA NICO RESTAURANT,MULBERRY STREET,high income,Italian,18,B
DA NICO RESTAURANT,MULBERRY STREET,high income,Italian,18,B
DA NICO RESTAURANT,MULBERRY STREET,high income,Italian,18,B
DAILY PRESS BED-STUY,FRANKLIN AVENUE,medium income,Caf̩/Coffee/Tea,9,A
DIPPIN' DOTS,SOUTHERN BOULEVARD,low income,"Ice Cream, Gelato, Yogurt, Ices",7,A
DIPPIN' DOTS,SOUTHERN BOULEVARD,low income,"Ice Cream, Gelato, Yogurt, Ices",7,A
DIPPIN' DOTS,SOUTHERN BOULEVARD,low income,"Ice Cream, Gelato, Yogurt, Ices",7,A
DIRTY PIERRES BISTRO,STATION SQUARE,medium income,French,23,B
DIRTY PIERRES BISTRO,STATION SQUARE,medium income,French,23,B
DISHES,EAST   45 STREET,high income,American,35,C
DISHES,EAST   45 STREET,high income,American,35,C
DISHES,EAST   45 STREET,high income,American,35,C
DISHES,EAST   45 STREET,high income,American,35,C
DISHES,EAST   45 STREET,high income,American,35,C
DISHES,EAST   45 STREET,high income,American,35,C
DISHES,EAST   45 STREET,high income,American,35,C
DISHES,EAST   45 STREET,high income,American,35,C
DISHES,EAST   45 STREET,high income,American,35,C
DISHES,EAST   45 STREET,high income,American,35,C
DISHES,EAST   45 STREET,high income,American,35,C
DISHES,EAST   45 STREET,high income,American,35,C
DISTRIBUIDORA SAN MARCOS,INTERVALE AVENUE,low income,Mexican,33,C
DISTRIBUIDORA SAN MARCOS,INTERVALE AVENUE,low income,Mexican,33,C
DISTRIBUIDORA SAN MARCOS,INTERVALE AVENUE,low income,Mexican,33,C
DAILY PRESS BED-STUY,FRANKLIN AVENUE,medium income,Caf̩/Coffee/Tea,9,A
DISTRIBUIDORA SAN MARCOS,INTERVALE AVENUE,low income,Mexican,33,C
DISTRIBUIDORA SAN MARCOS,INTERVALE AVENUE,low income,Mexican,33,C
DISTRIBUIDORA SAN MARCOS,INTERVALE AVENUE,low income,Mexican,33,C
DAILY PRESS BED-STUY,FRANKLIN AVENUE,medium income,Caf̩/Coffee/Tea,9,A
DISTRIBUIDORA SAN MARCOS,INTERVALE AVENUE,low income,Mexican,33,C
DISTRIBUIDORA SAN MARCOS,INTERVALE AVENUE,low income,Mexican,33,C
DISTRIBUIDORA SAN MARCOS,INTERVALE AVENUE,low income,Mexican,33,C
DISTRIBUIDORA SAN MARCOS,INTERVALE AVENUE,low income,Mexican,33,C
DISTRIBUIDORA SAN MARCOS,INTERVALE AVENUE,low income,Mexican,33,C
DISTRIBUIDORA SAN MARCOS,INTERVALE AVENUE,low income,Mexican,33,C
DAILY PRESS BED-STUY,FRANKLIN AVENUE,medium income,Caf̩/Coffee/Tea,9,A
DAILY PRESS BED-STUY,FRANKLIN AVENUE,medium income,Caf̩/Coffee/Tea,9,A
DAILY PRESS BED-STUY,FRANKLIN AVENUE,medium income,Caf̩/Coffee/Tea,9,A
DIVE 75,WEST   75 STREET,high income,American,12,A
DOC HOLIDAYS,AVENUE A,medium income,American,13,A
DOC HOLIDAYS,AVENUE A,medium income,American,13,A
DOC WATSONS,2 AVENUE,high income,American,12,A
DOCKS RESTAURANT,3 AVENUE,high income,Seafood,9,A
DOCKS RESTAURANT,3 AVENUE,high income,Seafood,9,A
DANCING CRANE CAFE,5 AVENUE,high income,American,10,A
DANCING CRANE CAFE (BX ZOO),SOUTHERN BOULEVARD,low income,American,12,A
DANCING CRANE EXPRESS (Arsenal),5 AVENUE,high income,Caf̩/Coffee/Tea,12,A
DANGERFIELD'S NIGHT CLUB,1 AVENUE,high income,American,12,A
DANGERFIELD'S NIGHT CLUB,1 AVENUE,high income,American,12,A
DANIEL,EAST   65 STREET,high income,French,13,A
DOMENICOS PIZZERIA,AMBOY ROAD,medium income,Pizza/Italian,13,A
DOMENICOS PIZZERIA,AMBOY ROAD,medium income,Pizza/Italian,13,A
DOMENICOS PIZZERIA,AMBOY ROAD,medium income,Pizza/Italian,13,A
DOMINIE'S HOEK,VERNON BOULEVARD,medium income,American,14,B
DOMINIE'S HOEK,VERNON BOULEVARD,medium income,American,14,B
DOMINIE'S HOEK,VERNON BOULEVARD,medium income,American,14,B
DARBAR GRILL,EAST   55 STREET,high income,Indian,8,A
DARKHORSE,MURRAY STREET,high income,American,13,A
DARKHORSE,MURRAY STREET,high income,American,13,A
DARKHORSE,MURRAY STREET,high income,American,13,A
DARKHORSE,MURRAY STREET,high income,American,13,A
DARKHORSE,MURRAY STREET,high income,American,13,A
DARKHORSE,MURRAY STREET,high income,American,13,A
DARKHORSE,MURRAY STREET,high income,American,13,A
DARKHORSE,MURRAY STREET,high income,American,13,A
DARO'S PIZZA,KISSENA BOULEVARD,low income,Pizza,12,A
DAVIDSTEA,3 AVENUE,high income,Caf̩/Coffee/Tea,24,B
DAVIDSTEA,3 AVENUE,high income,Caf̩/Coffee/Tea,24,B
DAVIDSTEA,3 AVENUE,high income,Caf̩/Coffee/Tea,24,B
DAVIO'S NORTHERN ITALIAN STEAKHOUSE,LEXINGTON AVENUE,high income,Italian,13,A
DAVIO'S NORTHERN ITALIAN STEAKHOUSE,LEXINGTON AVENUE,high income,Italian,13,A
DAVIS POLK DINING ROOM,LEXINGTON AVENUE,high income,American,7,A
DAVIS POLK DINING ROOM,LEXINGTON AVENUE,high income,American,7,A
DAWAT,EAST   58 STREET,high income,Indian,20,B
DAY BREAK CAFE RESTAURANT,34 AVENUE,medium income,American,11,A
DAY BREAK CAFE RESTAURANT,34 AVENUE,medium income,American,11,A
DAY BREAK CAFE RESTAURANT,34 AVENUE,medium income,American,11,A
DON FILIPPO RESTAURANT,LEXINGTON AVENUE,high income,Italian,11,A
DON FILIPPO RESTAURANT,LEXINGTON AVENUE,high income,Italian,11,A
DON FILIPPO RESTAURANT,LEXINGTON AVENUE,high income,Italian,11,A
DON FILIPPO RESTAURANT,LEXINGTON AVENUE,high income,Italian,11,A
DEBEVOISE & PLIMPTON,3 AVENUE,high income,American,13,A
DEGREZIA,EAST   50 STREET,high income,Italian,13,A
DON PICHON RESTAURANT,SOUTHERN BOULEVARD,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12,A
DON PICHON RESTAURANT,SOUTHERN BOULEVARD,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12,A
DONA BELLA  PIZZA,CHURCH STREET,high income,Pizza,17,B
DONA BELLA  PIZZA,CHURCH STREET,high income,Pizza,17,B
DONA BELLA  PIZZA,CHURCH STREET,high income,Pizza,17,B
DONG KING,WEST  165 STREET,low income,Chinese,13,A
DONG KING,WEST  165 STREET,low income,Chinese,13,A
DONG KING,WEST  165 STREET,low income,Chinese,13,A
DONNA MARGHERITIA,2 AVENUE,high income,Italian,12,A
DONNA MARGHERITIA,2 AVENUE,high income,Italian,12,A
DONNA MARGHERITIA,2 AVENUE,high income,Italian,12,A
DONNA MARGHERITIA,2 AVENUE,high income,Italian,12,A
DONOHUE'S STEAK HOUSE,LEXINGTON AVENUE,high income,Steak,10,A
DELICIAS MANABITAS RESTAURANT,35 AVENUE,medium income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",23,B
DELICIAS MANABITAS RESTAURANT,35 AVENUE,medium income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",23,B
DELICIAS MANABITAS RESTAURANT,35 AVENUE,medium income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",23,B
DELICIOSO RESTAURANT,EAST  149 STREET,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11,A
DELICIOSO RESTAURANT,EAST  149 STREET,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11,A
DELIMARIE,DUANE STREET,high income,American,12,A
DORIAN CAFE,50 AVENUE,medium income,American,12,A
DORIAN CAFE,50 AVENUE,medium income,American,12,A
DORIAN CAFE,50 AVENUE,medium income,American,12,A
DELIMARIE,DUANE STREET,high income,American,12,A
DORIS,FULTON STREET,medium income,American,12,A
DORIS,FULTON STREET,medium income,American,12,A
DORIS,FULTON STREET,medium income,American,12,A
DELIMARIE,DUANE STREET,high income,American,12,A
DELIMARIE,DUANE STREET,high income,American,12,A
DORO'S JAMAICAN RESTAURANT,EAST  165 STREET,low income,Caribbean,10,A
DORO'S JAMAICAN RESTAURANT,EAST  165 STREET,low income,Caribbean,10,A
DORRIAN'S RED HAND RESTAURANT,2 AVENUE,high income,Irish,12,A
DELISSIMO DELI & CAFE,EAST   60 STREET,high income,Delicatessen,13,A
DELISSIMO DELI & CAFE,EAST   60 STREET,high income,Delicatessen,13,A
DELISSIMO DELI & CAFE,EAST   60 STREET,high income,Delicatessen,13,A
DELISSIMO DELI & CAFE,EAST   60 STREET,high income,Delicatessen,13,A
DELISSIMO DELI & CAFE,EAST   60 STREET,high income,Delicatessen,13,A
DELISSIMO DELI & CAFE,EAST   60 STREET,high income,Delicatessen,13,A
DELIZIA  RISTORANTE,1 AVENUE,high income,Italian,12,A
DELIZIA  RISTORANTE,1 AVENUE,high income,Italian,12,A
DELIZIA  RISTORANTE,1 AVENUE,high income,Italian,12,A
DELIZIA  RISTORANTE,1 AVENUE,high income,Italian,12,A
DELMONICO GOURMET,LEXINGTON AVENUE,high income,American,26,B
DELMONICO GOURMET,LEXINGTON AVENUE,high income,American,26,B
DELMONICO GOURMET,LEXINGTON AVENUE,high income,American,26,B
DELMONICO GOURMET,LEXINGTON AVENUE,high income,American,26,B
DELMONICO GOURMET,LEXINGTON AVENUE,high income,American,26,B
DELMONICO GOURMET,LEXINGTON AVENUE,high income,American,26,B
DOSA HUTT,BOWNE STREET,low income,Indian,11,A
DOSA HUTT,BOWNE STREET,low income,Indian,11,A
DOUBLE DOWN SALOON,AVENUE A,medium income,American,12,A
DOUBLE DOWN SALOON,AVENUE A,medium income,American,12,A
DEMARCHELIER RESTAURANT,EAST   86 STREET,high income,French,18,B
DENG JI RESTAURANT,KISSENA BLVD,low income,Chinese,13,A
DENG JI RESTAURANT,KISSENA BLVD,low income,Chinese,13,A
DOUBLES CLUB,5 AVENUE,high income,American,10,A
DOUBLES CLUB,5 AVENUE,high income,American,10,A
DESERT RAIN LOUNGE,METROPOLITAN AVE,medium income,American,22,B
DESERT RAIN LOUNGE,METROPOLITAN AVE,medium income,American,22,B
DESNUDA,EAST    7 STREET,medium income,Mexican,12,A
DESNUDA,EAST    7 STREET,medium income,Mexican,12,A
DRAGON SEA,EAST  180 STREET,low income,Chinese,13,A
DRAGON SEA,EAST  180 STREET,low income,Chinese,13,A
DEUX AMIS,EAST   51 STREET,high income,French,13,A
DRAUGHT 55 BAR & KITCHEN,EAST   55 STREET,high income,American,12,A
DRAUGHT 55 BAR & KITCHEN,EAST   55 STREET,high income,American,12,A
DEUX AMIS,EAST   51 STREET,high income,French,13,A
DIEGO'S PIZZA & RESTAURANT,JEROME AVENUE,low income,Pizza,13,A
DROM,AVENUE A,medium income,Mediterranean,16,B
DROM,AVENUE A,medium income,Mediterranean,16,B
DROM,AVENUE A,medium income,Mediterranean,16,B
DROP OFF SERVICE,AVENUE A,medium income,American,12,A
DROP OFF SERVICE,AVENUE A,medium income,American,12,A
DUBLIN HOUSE,WEST   79 STREET,high income,Irish,13,A
DUBLIN HOUSE,WEST   79 STREET,high income,Irish,13,A
DUBLIN HOUSE,WEST   79 STREET,high income,Irish,13,A
DUE,THIRD AVENUE,high income,Italian,12,A
DUE FRATELLI,QUEENS BLVD,medium income,Italian,28,C
DUE FRATELLI,QUEENS BLVD,medium income,Italian,28,C
DUE FRATELLI,QUEENS BLVD,medium income,Italian,28,C
DUE FRATELLI,QUEENS BLVD,medium income,Italian,28,C
DUE FRATELLI,QUEENS BLVD,medium income,Italian,28,C
DUE FRATELLI,QUEENS BLVD,medium income,Italian,28,C
DUE FRATELLI,QUEENS BLVD,medium income,Italian,28,C
DUE FRATELLI,QUEENS BLVD,medium income,Italian,28,C
DIPPIN' DOTS,SOUTHERN BOULEVARD,low income,"Ice Cream, Gelato, Yogurt, Ices",7,A
DIPPIN' DOTS,SOUTHERN BOULEVARD,low income,"Ice Cream, Gelato, Yogurt, Ices",7,A
DIPPIN' DOTS,SOUTHERN BOULEVARD,low income,"Ice Cream, Gelato, Yogurt, Ices",7,A
DIRTY PIERRES BISTRO,STATION SQUARE,medium income,French,23,B
DIRTY PIERRES BISTRO,STATION SQUARE,medium income,French,23,B
DIRTY PIERRES BISTRO,STATION SQUARE,medium income,French,23,B
DIRTY PIERRES BISTRO,STATION SQUARE,medium income,French,23,B
DISHES,EAST   45 STREET,high income,American,35,C
DISHES,EAST   45 STREET,high income,American,35,C
DISHES,EAST   45 STREET,high income,American,35,C
DISTRIBUIDORA SAN MARCOS,INTERVALE AVENUE,low income,Mexican,33,C
DISTRIBUIDORA SAN MARCOS,INTERVALE AVENUE,low income,Mexican,33,C
DISTRIBUIDORA SAN MARCOS,INTERVALE AVENUE,low income,Mexican,33,C
DIVE 75,WEST   75 STREET,high income,American,12,A
DIVE 75,WEST   75 STREET,high income,American,12,A
DOC HOLIDAYS,AVENUE A,medium income,American,13,A
DOC WATSONS,2 AVENUE,high income,American,12,A
DOCKS RESTAURANT,3 AVENUE,high income,Seafood,9,A
DOCKS RESTAURANT,3 AVENUE,high income,Seafood,9,A
DOMAINE WINE BAR,VERNON BOULEVARD,medium income,French,10,A
DOMAINE WINE BAR,VERNON BOULEVARD,medium income,French,10,A
DOMENICOS PIZZERIA,AMBOY ROAD,medium income,Pizza/Italian,13,A
DOMENICOS PIZZERIA,AMBOY ROAD,medium income,Pizza/Italian,13,A
DOMENICOS PIZZERIA,AMBOY ROAD,medium income,Pizza/Italian,13,A
DOMINIE'S HOEK,VERNON BOULEVARD,medium income,American,14,B
DON PICHON RESTAURANT,SOUTHERN BOULEVARD,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12,A
DON PICHON RESTAURANT,SOUTHERN BOULEVARD,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12,A
DON PICHON RESTAURANT,SOUTHERN BOULEVARD,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12,A
DON PICHON RESTAURANT,SOUTHERN BOULEVARD,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12,A
DONG KING,WEST  165 STREET,low income,Chinese,13,A
DONG KING,WEST  165 STREET,low income,Chinese,13,A
DONOHUE'S STEAK HOUSE,LEXINGTON AVENUE,high income,Steak,10,A
DORIAN CAFE,50 AVENUE,medium income,American,12,A
DORRIAN'S RED HAND RESTAURANT,2 AVENUE,high income,Irish,12,A
DOSA HUTT,BOWNE STREET,low income,Indian,11,A
DOSA HUTT,BOWNE STREET,low income,Indian,11,A
DOSA HUTT,BOWNE STREET,low income,Indian,11,A
DOSA HUTT,BOWNE STREET,low income,Indian,11,A
DOSA HUTT,BOWNE STREET,low income,Indian,11,A
DOSA HUTT,BOWNE STREET,low income,Indian,11,A
DOUBLE DOWN SALOON,AVENUE A,medium income,American,12,A
DOUBLE DOWN SALOON,AVENUE A,medium income,American,12,A
DRAGON SEA,EAST  180 STREET,low income,Chinese,13,A
DRAUGHT 55 BAR & KITCHEN,EAST   55 STREET,high income,American,12,A
DRAUGHT 55 BAR & KITCHEN,EAST   55 STREET,high income,American,12,A
DRAUGHT 55 BAR & KITCHEN,EAST   55 STREET,high income,American,12,A
DRAUGHT 55 BAR & KITCHEN,EAST   55 STREET,high income,American,12,A
DROM,AVENUE A,medium income,Mediterranean,16,B
DROP OFF SERVICE,AVENUE A,medium income,American,12,A
DUE,THIRD AVENUE,high income,Italian,12,A
DUE,THIRD AVENUE,high income,Italian,12,A
DUTCH KILLS,JACKSON AVENUE,medium income,American,12,A
DUTCH KILLS CENTRAAL,29TH ST,medium income,American,21,B
DUTCH KILLS CENTRAAL,29TH ST,medium income,American,21,B
DUTCH KILLS CENTRAAL,29TH ST,medium income,American,21,B
DYLAN'S CANDY BAR,3 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",12,A
DYLAN'S CANDY BAR,3 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",12,A
DYLAN'S CANDY BAR,3 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",12,A
DYLAN'S CANDY BAR,3 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",12,A
DYLAN'S CANDY BAR,3 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",12,A
DYLAN'S CANDY BAR,3 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",12,A
DYLAN'S CANDY BAR,3 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",12,A
DYLAN'S CANDY BAR,3 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",12,A
DYLAN'S CANDY BAR,3 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",12,A
DYLAN'S CANDY BAR,3 AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",12,A
E NOODLE HOUSE,KISSENA BLVD,low income,Chinese,13,A
E.A.T. CAFE,MADISON AVENUE,high income,American,10,A
E.A.T. CAFE,MADISON AVENUE,high income,American,10,A
E.A.T. CAFE,MADISON AVENUE,high income,American,10,A
E.A.T. CAFE,MADISON AVENUE,high income,American,10,A
E.A.T. CAFE,MADISON AVENUE,high income,American,10,A
E.A.T. CAFE,MADISON AVENUE,high income,American,10,A
E.A.T. CAFE,MADISON AVENUE,high income,American,10,A
E.A.T. CAFE,MADISON AVENUE,high income,American,10,A
E.A.T. CAFE,MADISON AVENUE,high income,American,10,A
E.A.T. CAFE,MADISON AVENUE,high income,American,10,A
E.A.T. CAFE,MADISON AVENUE,high income,American,10,A
E.A.T. CAFE,MADISON AVENUE,high income,American,10,A
E.A.T. CAFE,MADISON AVENUE,high income,American,10,A
E.A.T. CAFE,MADISON AVENUE,high income,American,10,A
E.A.T. CAFE,MADISON AVENUE,high income,American,10,A
E.J LUNCHEONETTE,THIRD AVENUE,high income,American,13,A
E.J LUNCHEONETTE,THIRD AVENUE,high income,American,13,A
E.J LUNCHEONETTE,THIRD AVENUE,high income,American,13,A
E.J LUNCHEONETTE,THIRD AVENUE,high income,American,13,A
EAGLE CITY TEX MEX CHINESE FOOD,FULTON STREET,medium income,Chinese,13,A
EAGLE CITY TEX MEX CHINESE FOOD,FULTON STREET,medium income,Chinese,13,A
EAR INN,SPRING STREET,high income,American,13,A
EAR INN,SPRING STREET,high income,American,13,A
EAST SIDE BILLIARD,EAST   86 STREET,high income,American,37,C
EAST SIDE BILLIARD,EAST   86 STREET,high income,American,37,C
EAST SIDE BILLIARD,EAST   86 STREET,high income,American,37,C
EAST SIDE BILLIARD,EAST   86 STREET,high income,American,37,C
EAST SIDE BILLIARD,EAST   86 STREET,high income,American,37,C
EAST VILLAGE CAFE,AVENUE B,medium income,American,13,A
EAST VILLAGE CAFE,AVENUE B,medium income,American,13,A
EAST VILLAGE CAFE,AVENUE B,medium income,American,13,A
EAST VILLAGE CAFE,AVENUE B,medium income,American,13,A
EAST VILLAGE SOCIAL,ST MARKS PLACE,medium income,American,23,B
EAST VILLAGE SOCIAL,ST MARKS PLACE,medium income,American,23,B
EASTEND BAR & GRILL,1 AVENUE,high income,American,24,B
EASTEND BAR & GRILL,1 AVENUE,high income,American,24,B
EAT HERE NOW,LEXINGTON AVENUE,high income,American,11,A
EAT HERE NOW,LEXINGTON AVENUE,high income,American,11,A
EATA PITA,EAST   42 STREET,high income,Mediterranean,12,A
EATA PITA,EAST   42 STREET,high income,Mediterranean,12,A
EATS,LEXINGTON AVENUE,high income,American,18,B
EATS,LEXINGTON AVENUE,high income,American,18,B
EATS,LEXINGTON AVENUE,high income,American,18,B
ECUA VILLA COFFEE SHOP,EAST  170 STREET,low income,Caf̩/Coffee/Tea,12,A
ECUA VILLA COFFEE SHOP,EAST  170 STREET,low income,Caf̩/Coffee/Tea,12,A
ECUADORIAN FOOD RESTAURANT,34 AVENUE,medium income,Spanish,12,A
ECUADORIAN FOOD RESTAURANT,34 AVENUE,medium income,Spanish,12,A
EDWARD'S,WEST BROADWAY,high income,American,11,A
EDWARD'S,WEST BROADWAY,high income,American,11,A
EET,VARICK STREET,high income,American,13,A
EET,VARICK STREET,high income,American,13,A
EL CAMION CANTINA,AVENUE A,medium income,Mexican,27,B
EL CAMION CANTINA,AVENUE A,medium income,Mexican,27,B
EL CAMION CANTINA,AVENUE A,medium income,Mexican,27,B
EL CAMION CANTINA,AVENUE A,medium income,Mexican,27,B
EL CAMION CANTINA,AVENUE A,medium income,Mexican,27,B
EL CAMION CANTINA,AVENUE A,medium income,Mexican,27,B
El Crucero Restaurant & Grill,EAST  138 STREET,low income,Spanish,13,A
El Crucero Restaurant & Grill,EAST  138 STREET,low income,Spanish,13,A
El Crucero Restaurant & Grill,EAST  138 STREET,low income,Spanish,13,A
EL DESPERTAR MARLENE,PROSPECT AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",18,B
EL DESPERTAR MARLENE,PROSPECT AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",18,B
EL DESPERTAR MARLENE,PROSPECT AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",18,B
EL DIAMANTE RESTAURANT,3 AVENUE,low income,Spanish,23,B
EL DIAMANTE RESTAURANT,3 AVENUE,low income,Spanish,23,B
EL DIAMANTE RESTAURANT,3 AVENUE,low income,Spanish,23,B
EL DIAMANTE RESTAURANT,3 AVENUE,low income,Spanish,23,B
EL GRAN VALLE RESTAURANT,JEROME AVENUE,low income,Spanish,15,B
EL GRAN VALLE RESTAURANT,JEROME AVENUE,low income,Spanish,15,B
EL GRAN VALLE RESTAURANT,JEROME AVENUE,low income,Spanish,15,B
EL JOBO RESTAURANT,EAST  181 STREET,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13,A
EL JOBO RESTAURANT,EAST  181 STREET,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13,A
EL LIDER RESTAURANT,PARK AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11,A
EL LIDER RESTAURANT,PARK AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11,A
EL LIDER RESTAURANT,PARK AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11,A
EL MERO MERO,38TH ST,medium income,Mexican,2,A
EL MITOTE,COLUMBUS AVENUE,high income,Mexican,13,A
EL MITOTE,COLUMBUS AVENUE,high income,Mexican,13,A
EL MITOTE,COLUMBUS AVENUE,high income,Mexican,13,A
EL MITOTE,COLUMBUS AVENUE,high income,Mexican,13,A
EL NUEVO VALLE #2 RESTAURANT LECHONERA,EAST  180 STREET,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13,A
EL NUEVO VALLE #2 RESTAURANT LECHONERA,EAST  180 STREET,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13,A
EL PATRON NIGHTCLUB CABARET-RESTAURANT,JEROME AVENUE,low income,American,9,A
EL PATRON NIGHTCLUB CABARET-RESTAURANT,JEROME AVENUE,low income,American,9,A
EL PORRON,1 AVENUE,high income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",23,B
EL PORRON,1 AVENUE,high income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",23,B
EL PORRON,1 AVENUE,high income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",23,B
EL PORTON BAR & MEXICAN RESTAURANT,SOUTHERN BOULEVARD,low income,Mexican,27,B
EL PORTON BAR & MEXICAN RESTAURANT,SOUTHERN BOULEVARD,low income,Mexican,27,B
EL PORTON BAR & MEXICAN RESTAURANT,SOUTHERN BOULEVARD,low income,Mexican,27,B
EL PORTON BAR & MEXICAN RESTAURANT,SOUTHERN BOULEVARD,low income,Mexican,27,B
EL PORTON BAR & MEXICAN RESTAURANT,SOUTHERN BOULEVARD,low income,Mexican,27,B
EL PORTON BAR & MEXICAN RESTAURANT,SOUTHERN BOULEVARD,low income,Mexican,27,B
EL PORTON BAR & MEXICAN RESTAURANT,SOUTHERN BOULEVARD,low income,Mexican,27,B
EL PORTON BAR & MEXICAN RESTAURANT,SOUTHERN BOULEVARD,low income,Mexican,27,B
EL PORTON BAR & MEXICAN RESTAURANT,SOUTHERN BOULEVARD,low income,Mexican,27,B
EL RANCHITO DE DAISY,150 STREET,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",18,B
EL RANCHITO DE DAISY,150 STREET,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",18,B
EL RANCHITO DE DAISY,150 STREET,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",18,B
EL REY LATINO RESTAURANT,108TH ST,medium income,Spanish,13,A
EL REY LATINO RESTAURANT,108TH ST,medium income,Spanish,13,A
EL REY LATINO RESTAURANT,108TH ST,medium income,Spanish,13,A
EL REY LATINO RESTAURANT,108TH ST,medium income,Spanish,13,A
EL REY LATINO RESTAURANT,108TH ST,medium income,Spanish,13,A
EL REY LATINO RESTAURANT,108TH ST,medium income,Spanish,13,A
EL REY LATINO RESTAURANT,108TH ST,medium income,Spanish,13,A
EL REY LATINO RESTAURANT,108TH ST,medium income,Spanish,13,A
