Country or Territory,ISO 3 code,"Cancer deaths attributable to alcohol
Proportion (%) of cancer deaths caused by alcohol drinking in men ages 15 years or older, 2016","Smoking prevalence male
Prevalence (%) of daily smoking for men","Smoking prevalence female
Prevalence (%) of daily smoking for women","Cancers attributable to infections
Proportion of cancers attributable to infections (%), by country","Obesity prevalence male
International variation in the prevalence of obesity, 2016","Obesity prevalence female
International variation in the prevalence of obesity, 2016","Melanoma skin cancer incidence
Age-standardized rate (world) per 100,000, both sexes, 2018","Breastfeeding at 12 months
Percent (%) of children who receive any breast milk at 12 months of age","Average births per woman
2010-2015","Outdoor air pollution
Average annual population-weighted concentrations of PM2.5 (particulate matter of 2.5 _m diameter or less), measured in _g/m3, 2017","Indoor air pollution
Proportion (%) of population using solid fuels in 2017","Cancer rank as leading cause of death among 30-69
2016","Lung cancer incidence rates, male
Age-standardized rate (world) per 100,000, all ages, 2018","Lung cancer incidence rates, female
Age-standardized rate (world) per 100,000, all ages, 2018","Breast most frequently diagnosed cancer in women
Countries where breast cancer is the most frequently diagnosed cancer in women, 2018","Human Development Index (HDI) levels
2017","Cancer rank as leading cause of death among <70
2016","Indigenous peoples
As percent of total population","Most common cancer cases worldwide, females
2018","Most common cancer deaths worldwide, females
2018","Most common cancer cases worldwide, males
2018","Most common cancer deaths worldwide, males
2018","High-quality survival data
Availability of high-quality cancer data for survival statistics, 2008Ð2014","Cancer survivors
Estimated number of cancer survivors diagnosed within the past five years per 100,000 population, both sexes, 2018","Years lived with disability due to cancer
Both sexes, all ages, 2017","Cervical cancer screening, visual inspection with acetic acid
As of June 2017","Parties to the Framework Convention on Tobacco Control
As of mid-2019","Tobacco packaging restrictions
Use of graphic warning labels and plain packaging","Hepatitis B virus vaccination
Hepatitis B vaccination coverage (% of one-year-olds who have received three doses of hepatitis B vaccine), 2017","Human papillomavirus vaccination
Countries that have introduced the HPV vaccine by June 2019 (including partial introduction)","Cervical cancer screening, HPV DNA testing
2017","Radiotherapy availability
Number of radiotherapy machines per 1,000 cancer patients","Untreated deaths in pain
2016","Population-based cancer registries
Availability of population-based cancer registry (PBCR) data, 2019","Mortality registration quality
Quality of mortality registration worldwide, 2007Ð2016","Cost of smoking-attributable diseases (US$ billions)
Economic cost of smoking-attributable diseases annually (healthcare spending and productivity losses)*","Cervical cancer incidence rates
Age-standardized rate (world) per 100,000, 2018","HIV prevalence (%)
Both sexes, 2017","UICC organizations
A global network of cancer organizations","Global Relay For Life
2017"
India,IND,6.5,17.3,1.4,21.7,2.7,5.1,0.24,91.8,2.4,91,60,2nd,7.8,3,Breast,Medium,3rd-4th,8.61,Breast,Breast,"Lip, oral cavity","Lip, oral cavity",Regional high quality data,173.5,483705,Pilot,FCTC party,Graphic warning labels,88,Not introduced,Pilot,0.54,513277.8,High quality PBCR,Very low,136.2,14.7,0.2,27,Global Relay For Life Participant
Iran (Islamic Republic of),IRN,0.7,18.7,0.5,12.6,19.3,32.2,0.64,88.8,1.7,39,0.52,2nd,12.5,5.5,Breast,High,2nd,No data,Breast,Breast,Stomach,Stomach,Regional high quality data,314.2,49994.1,No program,FCTC party,Graphic warning labels,99,Not introduced,None,1.11,0,High quality PBCR,Low,Data not featured,2.2,0.1,4,Non-participant
C™te d'Ivoire,CIV,6.6,14.2,1.4,31.6,5.8,15.2,0.39,92.1,5.1,26,81,5th+,3.4,1.4,Breast,Low,5th-10th,No data,Breast,Cervix uteri,Prostate,Prostate,Case samples from registries,166.9,5252.4,Pilot,FCTC party,No graphic warning labels,84,Not introduced,None,0,20146.5,PBCR,No coverage,0.3,28.6,2.8,9,Non-participant
Iraq,IRQ,0.7,23.8,3,9.3,23.4,37,0.4,57.9,4.6,62,0.39,3rd-4th,17.4,5,Breast,Medium,3rd-4th,No data,Breast,Breast,Lung,Lung,No data,219.1,8984.8,No program,FCTC party,Graphic warning labels,63,Not introduced,None,0.71,11619.2,PBCR,Low,Data not featured,1.9,No data,1,Non-participant
Japan,JPN,6.9,26.6,9.3,19.8,4.8,3.7,0.6,60,1.4,12,0.11,1st,41.4,15.6,Breast,Very high,1st,No data,Breast,Colorectum,Colorectum,Lung,Regional high quality data,662.4,399398.7,No program,FCTC party,No graphic warning labels,No data,Introduced,None,1.06,0,High quality PBCR,High,Data not featured,14.7,0.05,32,Global Relay For Life Participant
Jamaica,JAM,2.3,21.6,4.4,13.7,15.3,33.4,0.25,57.9,2.1,13,7.7,1st,21.1,7.3,Breast,High,1st,No data,Breast,Breast,Prostate,Prostate,No data,461.8,2859.3,No program,FCTC party,Graphic warning labels,93,Introduced,None,0.68,2778.6,High quality PBCR,Low,Data not featured,28.4,1.8,1,Global Relay For Life Participant
Jordan,JOR,1.5,30.7,6.8,9,28.2,43.1,0.38,54.8,3.6,33,0.035,2nd,32,6,Breast,High,3rd-4th,No data,Breast,Breast,Lung,Lung,No data,358.6,4033,No program,FCTC party,Graphic warning labels,99,Not introduced,None,1.28,0,High quality PBCR,Low,Data not featured,2.9,No data,2,Non-participant
Kenya,KEN,5.9,14.9,1,31.3,2.8,11.1,1.3,89.4,4.1,29,80,2nd,3.6,2.3,Breast,Medium,3rd-4th,2.18,Breast,Cervix uteri,Prostate,Esophagus,Case samples from registries,302.4,11573.5,National,FCTC party,Graphic warning labels,82,Not introduced,None,0.23,23850.7,High quality PBCR,No coverage,Data not featured,33.8,4.8,12,Global Relay For Life Participant
Kyrgyzstan,KGZ,9.1,39.4,2.6,27,14,18.6,0.69,79.6,3.1,23,27,2nd,26.8,5,Breast,Medium,2nd,No data,Breast,Cervix uteri,Stomach,Stomach,No data,237.9,2181.5,No program,FCTC party,Graphic warning labels,92,Not introduced,None,0.31,0,PBCR,High,Data not featured,19.9,0.2,1,Non-participant
Democratic People's Republic of Korea,PRK,3.6,37.3,0.9,18,6.1,7.3,0.28,83.8,2,32,85,2nd,48.1,27.4,Other,No data,2nd,No data,Lung,Lung,Lung,Lung,No data,226.9,20260.2,No program,FCTC party,No graphic warning labels,97,Not introduced,None,0.07,27356.6,Registration activity,No coverage,Data not featured,11.1,No data,0,Non-participant
Republic of Korea,KOR,8.3,33.5,8.8,20.8,4.4,4.8,0.7,46,1.2,25,0.078,1st,41.7,17.2,Other,Very high,1st,No data,Thyroid,Lung,Colorectum,Lung,National high quality data,880.7,86319.5,No program,FCTC party,Graphic warning labels,98,Introduced,None,0.58,0,High quality PBCR,High,Data not featured,8.4,No data,5,Non-participant
Kuwait,KWT,1,23.2,5.2,9.6,33.3,45.6,0.33,28.1,2.1,61,0.28,2nd,8.7,5.3,Breast,Very high,3rd-4th,No data,Breast,Breast,Prostate,Lung,National high quality data,321.8,1592,No program,FCTC party,Graphic warning labels,99,Not introduced,None,1.12,0,High quality PBCR,Low,Data not featured,3.3,0.05,1,Non-participant
Kazakhstan,KAZ,10.3,36.9,3.2,17.2,18.9,22.7,1.2,63,2.7,14,12,2nd,43.8,6.5,Breast,Very high,2nd,No data,Breast,Breast,Lung,Lung,No data,384.4,12231.8,No program,FCTC party,Graphic warning labels,99,Not introduced,None,1.33,11585.4,PBCR,Medium,Data not featured,15.7,0.2,2,Non-participant
Lao People's Democratic Republic,LAO,8.2,46.9,6.6,35.3,3.7,6.7,0.36,79.4,2.9,25,92,2nd,29.4,10.2,Breast,Medium,3rd-4th,No data,Breast,Breast,Liver,Liver,No data,255.6,2507,No program,FCTC party,Graphic warning labels,85,Not introduced,None,0.13,4236.6,Registration activity,No coverage,Data not featured,11.4,0.3,1,Non-participant
Latvia,LVA,9.3,51.8,21,8.8,21.6,25.1,5.6,No data,1.5,13,6.3,2nd,51.8,9.6,Breast,Very high,2nd,No data,Breast,Breast,Prostate,Lung,National high quality data,808.6,4402.4,No program,FCTC party,Graphic warning labels,98,Introduced,None,0.74,0,High quality PBCR,High,Data not featured,25,No data,2,Non-participant
Lithuania,LTU,9.7,33.9,12.8,10.1,24.2,27.8,8.8,No data,1.6,12,1.3,2nd,52.6,9.2,Breast,Very high,2nd,No data,Breast,Breast,Prostate,Lung,National high quality data,775.5,6826.6,No program,FCTC party,Graphic warning labels,94,Introduced,None,0.73,0,High quality PBCR,High,Data not featured,18.9,0.2,2,Non-participant
Liberia,LBR,6.6,21.4,1.7,37.6,5.5,14.2,0.51,95.2,4.8,18,97,3rd-4th,3.7,1.3,Other,Low,5th-10th,No data,Cervix uteri,Cervix uteri,Prostate,Prostate,No data,142.9,1050.1,No program,FCTC party,No graphic warning labels,86,Not introduced,None,0,3028.4,Registration activity,No coverage,Data not featured,37.2,1.4,0,Non-participant
Slovakia,SVK,11.8,30.5,11.9,8,21,19.9,8.5,No data,1.4,18,3.2,1st,54.3,13.2,Breast,Very high,1st,No data,Breast,Breast,Colorectum,Lung,National high quality data,803.3,12591.5,No program,FCTC party,Graphic warning labels,96,Not introduced,None,0.72,0,High quality PBCR,High,Data not featured,16.6,0.05,2,Non-participant
Lesotho,LSO,7.4,42.3,0.3,51.9,4.6,26.7,1.8,79.8,3.3,28,59,3rd-4th,6.4,1.7,Other,Low,5th-10th,No data,Cervix uteri,Cervix uteri,Kaposi sarcoma,Prostate,No data,199.2,825.3,Pilot,FCTC party,No graphic warning labels,93,Not introduced,None,0,3518,No information,No coverage,Data not featured,52.1,23.8,0,Non-participant
Libya,LBY,0.2,24.8,0.4,13.7,25,39.6,0.32,No data,2.4,54,0.083,2nd,26.4,2.9,Breast,High,3rd-4th,No data,Breast,Colorectum,Lung,Lung,No data,254,4731,No program,FCTC party,No graphic warning labels,96,Introduced,None,0.48,2700,Registration activity,No coverage,Data not featured,11.5,No data,0,Non-participant
Madagascar,MDG,3,19,1.5,27.4,3,7.5,1.5,92.5,4.4,23,99,3rd-4th,1.4,0.8,Other,Low,5th-10th,No data,Cervix uteri,Cervix uteri,Prostate,Prostate,No data,194.8,6585.5,Pilot,FCTC party,Graphic warning labels,74,Not introduced,None,0.11,10500.7,No information,No coverage,Data not featured,51.6,0.3,2,Non-participant
Republic of Moldova,MDA,14.5,38.3,3.9,13.7,16.2,21.1,4.3,57,1.3,16,7.6,2nd,50.5,10.3,Breast,High,2nd,No data,Breast,Breast,Lung,Lung,No data,545.5,4200.4,No program,FCTC party,Graphic warning labels,89,Not introduced,None,0.2,0,PBCR,High,Data not featured,21.4,0.6,0,Non-participant
Mongolia,MNG,8.2,40.7,4.1,49.8,17.5,23.2,0.38,87.5,2.8,40,53,2nd,36.8,6.3,Other,High,2nd,No data,Liver,Liver,Liver,Liver,National high quality data,308.7,1652.7,No program,FCTC party,Graphic warning labels,99,Not introduced,None,0.72,1778.2,PBCR,Low,Data not featured,23.5,0.05,2,Non-participant
Malawi,MWI,3.8,16.7,3,49.8,2.2,9.1,2.5,98.3,4.9,24,95,2nd,2.4,1,Other,Low,3rd-4th,No data,Cervix uteri,Cervix uteri,Kaposi sarcoma,Kaposi sarcoma,No data,277.7,5101.3,National,Not FCTC party,No graphic warning labels,88,Introduced,None,0,19523.2,PBCR,No coverage,Data not featured,72.9,9.6,2,Non-participant
Republic of North Macedonia,MKD,6.5,36.1,20.8,10.3,22.6,22.1,7.1,43.3,1.5,30,28,2nd,55.7,14.3,Breast,High,2nd,No data,Breast,Breast,Lung,Lung,No data,522.8,2961.8,No program,FCTC party,Graphic warning labels,91,Introduced,None,0.51,0,Registration activity,High,Data not featured,10,0.05,1,Non-participant
Mali,MLI,1.5,30.8,2.3,34.8,4.6,12.4,0.92,94.1,6.4,39,97,3rd-4th,5.5,1.5,Other,Low,5th-10th,No data,Cervix uteri,Cervix uteri,Prostate,Stomach,Case samples from registries,202.3,4950.7,Pilot,FCTC party,No graphic warning labels,66,Not introduced,None,0.08,10856.4,PBCR,No coverage,Data not featured,43.9,1.2,3,Non-participant
Morocco,MAR,1.1,38.3,0.8,14.3,19.4,32.2,0.6,66,2.6,33,1.5,1st,31.9,3.5,Breast,Medium,1st,No data,Breast,Breast,Lung,Lung,No data,288.9,17509.3,National,Not FCTC party,No graphic warning labels,99,Not introduced,None,0.72,5107.3,PBCR,Very low,4.9,17.2,0.05,6,Non-participant
Mauritania,MRT,0.8,41.1,2.9,34.6,6.6,18.5,0.64,89.5,4.9,47,53,3rd-4th,3.9,1.3,Other,Low,5th-10th,No data,Cervix uteri,Cervix uteri,Liver,Liver,No data,161.8,1198.8,Pilot,FCTC party,No graphic warning labels,81,Not introduced,None,0.37,1896.4,No information,No coverage,Data not featured,32.9,0.3,5,Non-participant
Oman,OMN,1.9,17.5,0.7,13.7,22.9,33.7,0.53,96.8,2.9,41,0.94,3rd-4th,7.1,1.5,Breast,Very high,3rd-4th,No data,Breast,Breast,Colorectum,Colorectum,No data,250,1365.4,No program,FCTC party,Graphic warning labels,99,Not introduced,None,0.6,0,PBCR,Very low,Data not featured,6.3,No data,2,Non-participant
Mexico,MEX,4.5,11.9,3.6,18.4,24.3,32.8,2.2,43.7,2.3,21,15,3rd-4th,7.3,4.5,Breast,High,3rd-4th,15,Breast,Breast,Prostate,Prostate,No data,354.2,83055,No program,FCTC party,Graphic warning labels,93,Introduced,National,0.78,11525.6,PBCR,High,Data not featured,11,0.3,19,Non-participant
Malaysia,MYS,2.2,38.8,1.1,19.6,13,17.9,0.31,No data,2.1,16,2,2nd,22.5,8.2,Breast,Very high,2nd,No data,Breast,Breast,Lung,Lung,Regional high quality data,337.2,21253.6,No program,FCTC party,Graphic warning labels,98,Introduced,None,1.23,0,High quality PBCR,Very low,Data not featured,10.5,0.4,1,Global Relay For Life Participant
Mozambique,MOZ,1.5,21.7,3.6,52.5,3.3,10.5,1.4,93,5.5,21,95,2nd,1.9,1.4,Other,Low,3rd-4th,No data,Cervix uteri,Cervix uteri,Kaposi sarcoma,Kaposi sarcoma,No data,192.2,7960.8,National,FCTC party,No graphic warning labels,80,Not introduced,None,0,47872.3,PBCR,No coverage,Data not featured,42.8,12.5,1,Non-participant
Niger,NER,1.2,13.4,0.1,19.8,2.5,8.7,0.68,95.8,7.4,94,98,3rd-4th,0.89,0.04,Breast,Low,5th-10th,No data,Breast,Breast,Liver,Liver,No data,89.1,3913.8,Pilot,FCTC party,Graphic warning labels,81,Not introduced,None,0.12,6592,PBCR,No coverage,Data not featured,9.6,0.3,8,Non-participant
Vanuatu,VUT,2.9,28.5,2.8,24.2,20.2,30.1,0.89,79.4,3.4,12,71,2nd,14.4,1.8,Breast,Medium,2nd,No data,Breast,Breast,Liver,Liver,No data,199.7,142.5,Pilot,FCTC party,Graphic warning labels,85,Not introduced,None,0,112.6,Registration activity,No coverage,Data not featured,17,No data,0,Non-participant
Nigeria,NGA,6.6,13.7,0.8,28.5,4.6,13.1,0.63,88.7,5.7,72,72,5th+,1.6,1,Breast,Low,5th-10th,14.33,Breast,Breast,Prostate,Prostate,No data,183.2,61308.9,Pilot,FCTC party,No graphic warning labels,42,Not introduced,None,0.02,130983.6,PBCR,No coverage,Data not featured,27.2,2.8,25,Non-participant
Netherlands,NLD,6.8,17,17,3.8,20.8,20,25.7,11,1.7,12,0.3,1st,34.5,32.7,Breast,Very high,1st,No data,Breast,Lung,Prostate,Lung,National high quality data,1103.4,60981.1,No program,FCTC party,Graphic warning labels,92,Introduced,National,1.08,0,High quality PBCR,High,Data not featured,5.7,0.2,8,Global Relay For Life Participant
Norway,NOR,5.1,13,13,3.7,23.6,22.5,29.6,35,1.8,7,0.63,1st,30.9,29.2,Breast,Very high,1st,1.11,Breast,Lung,Prostate,Lung,National high quality data,1120.3,17260.6,No program,FCTC party,Graphic warning labels + plain packaging,No data,Introduced,None,1.25,0,High quality PBCR,High,Data not featured,10.7,0.1,2,Global Relay For Life Participant
Nepal,NPL,3.2,25.5,7.3,20,2.7,5.4,1,95.4,2.3,100,65,2nd,14.8,16.3,Other,Medium,3rd-4th,15.7,Cervix uteri,Lung,Lung,Lung,No data,171.5,8633.7,Pilot,FCTC party,Graphic warning labels,90,Not introduced,None,0.27,13603.8,PBCR,No coverage,Data not featured,21.5,0.2,7,Non-participant
Suriname,SUR,4.1,27.3,7.5,20.2,18.9,33.7,0.61,37,2.5,25,12,2nd,25.7,9.3,Breast,High,2nd,No data,Breast,Breast,Prostate,Prostate,No data,381,401.2,National,FCTC party,Graphic warning labels,81,Introduced,None,1.92,499.2,Registration activity,Medium,Data not featured,26.8,1.3,1,Non-participant
Nicaragua,NIC,4.1,12.6,5.4,32.3,17.9,29,0.52,75.3,2.3,18,39,2nd,7.7,4.5,Breast,Medium,2nd,6,Breast,Cervix uteri,Prostate,Prostate,No data,277.5,2439,National,FCTC party,No graphic warning labels,98,Not introduced,Pilot,0.25,2520.6,Registration activity,Medium,Data not featured,21.2,0.2,3,Non-participant
New Zealand,NZL,6.6,15.6,12.9,3.7,30.1,31.4,33.3,44,2,6,0.34,1st,24.2,26.4,Breast,Very high,1st,14.9,Breast,Lung,Prostate,Lung,National high quality data,1686.8,14436.3,No program,FCTC party,Graphic warning labels + plain packaging,94,Introduced,None,0.75,0,High quality PBCR,High,Data not featured,6,0.1,3,Global Relay For Life Participant
Paraguay,PRY,5.1,17.2,4.6,18.8,17.1,23.4,2,45.8,2.6,12,35,2nd,19.3,5.2,Breast,High,2nd,1.7,Breast,Breast,Prostate,Lung,No data,385.4,3530.7,National,FCTC party,No graphic warning labels,91,Introduced,Pilot,0.44,4508,Registration activity,Medium,Data not featured,31.5,0.5,4,Non-participant
Peru,PER,3.2,11.9,4.2,23.5,15.2,24.2,2.7,85.3,2.5,25,26,2nd,9.5,8.9,Breast,High,2nd,26,Breast,Stomach,Prostate,Prostate,Regional high quality data,438.8,18582.5,National,FCTC party,Graphic warning labels,83,Introduced,Pilot,0.68,6573.4,High quality PBCR,Low,Data not featured,23.2,0.3,11,Non-participant
Pakistan,PAK,0.9,20.6,2,9.9,6,11.3,0.27,80.5,3.7,58,52,2nd,11.5,2.6,Breast,Medium,3rd-4th,2.4,Breast,Breast,"Lip, oral cavity","Lip, oral cavity",No data,200.3,104843.7,No program,FCTC party,Graphic warning labels,75,Not introduced,None,0.33,96333.2,Registration activity,No coverage,Data not featured,7.3,0.1,5,Non-participant
Poland,POL,8.2,31,18,7.5,23.7,22.2,5.3,No data,1.3,21,8.7,1st,52.7,24.5,Breast,Very high,1st,No data,Breast,Lung,Lung,Lung,National high quality data,691.5,68045.2,No program,FCTC party,Graphic warning labels,95,Not introduced,None,0.81,0,High quality PBCR,Medium,Data not featured,9.4,No data,2,Non-participant
Panama,PAN,4.6,4.4,1.2,16.3,17.8,27.6,1.1,42.3,2.6,11,9.4,2nd,10.4,7.8,Breast,High,1st,12.2,Breast,Breast,Prostate,Prostate,No data,418.3,3111.3,National,FCTC party,Graphic warning labels,81,Introduced,None,0.97,0,PBCR,Medium,Data not featured,18.4,1,3,Non-participant
Portugal,PRT,9.8,23.5,10.9,9.5,20.3,21.2,6.7,No data,1.3,8.2,1.1,1st,38.1,9.7,Breast,Very high,1st,No data,Breast,Colorectum,Prostate,Lung,National high quality data,719.2,26183.4,No program,FCTC party,Graphic warning labels,98,Introduced,None,0.95,0,High quality PBCR,Medium,Data not featured,8.9,0.6,6,Global Relay For Life Participant
Papua New Guinea,PNG,4.2,37.6,15,22.9,16.6,25.8,3.6,92.5,3.8,12,80,2nd,15.7,8.9,Breast,Low,3rd-4th,No data,Breast,Breast,"Lip, oral cavity",Lung,No data,342.8,3812.3,No program,FCTC party,No graphic warning labels,56,Not introduced,None,0.08,5270.4,Registration activity,No coverage,Data not featured,29.1,0.9,2,Non-participant
Guinea-Bissau,GNB,5.4,11.4,1,36.4,5,13.7,0.34,97.8,4.9,30,97,3rd-4th,2.6,1.2,Other,Low,5th-10th,No data,Cervix uteri,Cervix uteri,Liver,Liver,No data,135.5,499.2,No program,FCTC party,No graphic warning labels,87,Not introduced,None,0,1598,No information,No coverage,Data not featured,32.7,3.4,0,Non-participant
Qatar,QAT,2.2,18.2,0.1,12.6,32.5,43.1,0.04,40.1,2,91,0.017,2nd,10.3,5.8,Breast,Very high,3rd-4th,No data,Breast,Breast,Colorectum,Lung,No data,250.3,911.1,No program,FCTC party,Graphic warning labels,97,Not introduced,None,2.38,0,High quality PBCR,Low,Data not featured,4,0.1,1,Non-participant
Romania,ROU,11.8,31.5,16.5,13,23.4,21.6,3.4,No data,1.5,15,14,2nd,50.7,12.7,Breast,Very high,2nd,No data,Breast,Breast,Lung,Lung,Regional high quality data,552.6,34219.7,No program,FCTC party,Graphic warning labels,92,Not introduced,None,0.56,14429.4,PBCR,High,Data not featured,19.5,0.1,2,Non-participant
Philippines,PHL,6.3,33.9,3.6,17.4,5.2,7.5,0.45,61.5,3.1,18,57,2nd,33.1,11.5,Breast,Medium,2nd,No data,Breast,Breast,Lung,Lung,No data,330.3,54909.7,National,FCTC party,Graphic warning labels,88,Introduced,None,0.3,59569.3,High quality PBCR,Medium,Data not featured,14.9,0.1,11,Global Relay For Life Participant
Russian Federation,RUS,10.1,51.1,15.3,12.1,18.1,26.9,4.7,20,1.7,16,0.18,2nd,48.2,8.1,Breast,Very high,2nd,0.02,Breast,Breast,Lung,Lung,Regional high quality data,571.3,257898.6,No program,FCTC party,Graphic warning labels,97,Not introduced,None,0.81,190269.1,High quality PBCR,Medium,Data not featured,17,1.2,6,Non-participant
Rwanda,RWA,10,12.4,3.8,35.8,1.9,9.3,1.2,95.7,4.2,43,99,1st,4.4,3.4,Other,Low,2nd,No data,Cervix uteri,Cervix uteri,Prostate,Liver,No data,220,3501.9,National,FCTC party,No graphic warning labels,98,Introduced,Pilot,0,6722,PBCR,No coverage,Data not featured,31.9,2.7,4,Non-participant
Senegal,SEN,1.6,9.7,0.3,38.2,4,12.9,0.63,99.4,5,41,84,3rd-4th,3.7,1.4,Other,Low,5th-10th,No data,Cervix uteri,Cervix uteri,Prostate,Liver,No data,189.5,4168.5,Pilot,FCTC party,Graphic warning labels,91,Introduced,None,0.38,7106.8,No information,No coverage,Data not featured,37.8,0.4,5,Non-participant
Slovenia,SVN,8.3,18,13,6.9,19.4,21,18.6,No data,1.6,16,6,1st,46.6,20.8,Breast,Very high,1st,No data,Breast,Lung,Prostate,Lung,National high quality data,875.6,4918.2,No program,FCTC party,Graphic warning labels,No data,Introduced,None,0.74,0,High quality PBCR,High,Data not featured,7.1,0.05,4,Non-participant
Sierra Leone,SLE,7.2,44.1,7.9,38.1,3.8,13.3,0.64,87.8,4.8,22,97,5th+,3.2,1.4,Breast,Low,5th-10th,No data,Breast,Breast,Prostate,Prostate,No data,141,1998.6,Pilot,FCTC party,No graphic warning labels,90,Not introduced,None,0,3696.2,Registration activity,No coverage,Data not featured,13.8,1.4,2,Non-participant
Somalia,SOM,0.8,13.1,1.6,23.7,3.9,12.3,0.54,61,6.6,32,99,3rd-4th,3.7,3.1,Breast,No data,5th-10th,No data,Breast,Breast,Prostate,Leukemia,No data,148.8,4767.7,No program,Not FCTC party,No graphic warning labels,42,Not introduced,None,0,6968.4,No information,No coverage,Data not featured,24,0.1,0,Non-participant
Spain,ESP,8.3,27.6,18.6,7.2,24.6,22.8,6.4,23,1.3,9.7,1.3,1st,42.1,14,Breast,Very high,1st,No data,Breast,Colorectum,Prostate,Lung,Regional high quality data,798.2,124847.1,No program,FCTC party,Graphic warning labels,93,Introduced,National,1.01,0,High quality PBCR,High,Data not featured,5.2,0.4,8,Non-participant
Sweden,SWE,6,9,11,3.6,23.1,18.1,24.7,16,1.9,6.2,0.58,1st,16.9,18.1,Breast,Very high,1st,0.21,Breast,Lung,Prostate,Prostate,National high quality data,956.8,29913.8,No program,FCTC party,Graphic warning labels,76,Introduced,None,1.1,0,High quality PBCR,High,Data not featured,9,No data,3,Non-participant
Syrian Arab Republic,SYR,0.7,21,8.5,9,20.9,34.8,0.86,64.2,3.1,44,0.091,3rd-4th,26.6,8.6,Breast,Low,3rd-4th,No data,Breast,Breast,Lung,Lung,No data,298.5,6675.4,No program,FCTC party,No graphic warning labels,52,Not introduced,None,0.3,3888.6,Registration activity,Low,Data not featured,3.5,No data,1,Non-participant
Switzerland,CHE,7,19.6,15.1,3.9,22.2,16.9,21.3,28,1.5,10,0.85,1st,26.6,19.3,Breast,Very high,1st,No data,Breast,Lung,Prostate,Lung,Regional high quality data,1102.9,22458.2,No program,Not FCTC party,Graphic warning labels,No data,Introduced,None,1.27,0,High quality PBCR,High,Data not featured,3.8,No data,9,Global Relay For Life Participant
United Arab Emirates,ARE,2.6,11.3,1.8,11.9,27.5,41,0.39,No data,1.8,41,0.49,2nd,7,5,Breast,Very high,3rd-4th,No data,Breast,Breast,Colorectum,Colorectum,No data,303.1,4295.3,No program,FCTC party,Graphic warning labels,98,Introduced,None,1.06,0,PBCR,Low,Data not featured,6.4,No data,5,Global Relay For Life Participant
Thailand,THA,8.4,35.8,1.8,23.6,7,12.7,0.5,40.4,1.5,26,14,1st,29.4,13.1,Breast,High,1st,2.88,Breast,Lung,Liver,Liver,Regional high quality data,318.6,63483.7,National,FCTC party,Graphic warning labels,99,Introduced,None,0.56,36488.7,High quality PBCR,Low,Data not featured,16.2,1.1,7,Non-participant
Tajikistan,TJK,6.6,19.6,0.4,22.4,11.6,16.7,0.32,82.3,3.5,46,36,2nd,7.5,3.8,Breast,Medium,3rd-4th,No data,Breast,Stomach,Stomach,Stomach,No data,149.6,2571.2,No program,FCTC party,Graphic warning labels,96,Not introduced,None,0.18,918.5,Registration activity,Low,Data not featured,5.7,0.3,1,Non-participant
Togo,TGO,4.5,9.2,1.1,31.7,3.9,12.5,1.1,96.2,4.7,36,93,3rd-4th,3.1,0.94,Breast,Low,5th-10th,No data,Breast,Cervix uteri,Prostate,Liver,No data,169.7,1885.2,Pilot,FCTC party,No graphic warning labels,90,Not introduced,None,0,4903,Registration activity,No coverage,Data not featured,23.8,2.1,2,Non-participant
Tunisia,TUN,1.4,36.1,3,10.7,19.1,34.3,0.54,53.7,2.3,38,0.27,2nd,26.5,2.5,Breast,High,2nd,No data,Breast,Breast,Lung,Lung,No data,256.1,7338.9,No program,FCTC party,No graphic warning labels,98,Not introduced,None,1.38,315.1,PBCR,Very low,Data not featured,4,0.05,7,Non-participant
Turkey,TUR,1.5,41.4,16.3,9.8,24.4,39.2,1.7,74.2,2.1,44,1,1st,70.6,9.8,Breast,High,1st,No data,Breast,Breast,Lung,Lung,Regional high quality data,508.3,67881.7,Pilot,FCTC party,Graphic warning labels,96,Not introduced,National,1.25,0,High quality PBCR,Medium,45.1,4.8,No data,11,Non-participant
Turkmenistan,TKM,10.5,13.3,0.9,19,15.9,20.9,0.8,81.8,3,22,0.28,2nd,15.7,4,Breast,High,2nd,No data,Breast,Breast,Stomach,Lung,No data,237.7,2368.3,No program,FCTC party,Graphic warning labels,99,Introduced,None,1.2,3075.2,Registration activity,Low,Data not featured,13.6,No data,0,Non-participant
United Republic of Tanzania,TZA,8.6,19.8,2.2,44.2,4,12.7,1.6,95.8,5.2,29,96,3rd-4th,0.85,0.24,Other,Low,5th-10th,No data,Cervix uteri,Cervix uteri,Prostate,Prostate,No data,229.2,15434.1,National,FCTC party,No graphic warning labels,97,Introduced,None,0.17,0,PBCR,No coverage,Data not featured,59.1,4.5,5,Non-participant
Uganda,UGA,8.4,9.8,1.3,36,1.8,8.6,1.1,91.8,5.9,50,97,2nd,4.3,1.9,Other,Low,5th-10th,No data,Cervix uteri,Cervix uteri,Kaposi sarcoma,Kaposi sarcoma,Case samples from registries,247.7,10868.3,National,FCTC party,No graphic warning labels,85,Introduced,Pilot,0.03,27097.1,High quality PBCR,No coverage,Data not featured,54.8,5.9,5,Non-participant
